"well","location","aquifer","lat","lng","start_year","end_year","n_years"
"OW217","Grand Forks (Richmond Ave.)","Grand Forks (Aquifer 158)",49.0301,-118.4377,1977,2026,50
"OW306","Beaverdell","West Kettle valley",49.4253,-119.0828,1989,2026,38
"OW444","Midway","Kettle valley",49.0093,-118.7726,2018,2026,9
