"STATION_NUMBER","STATION_NAME","LATITUDE","LONGITUDE","DRAINAGE_AREA_GROSS","start_year","end_year","n_years"
"08NN003","WEST KETTLE RIVER AT WESTBRIDGE",49.1698112487793,-118.975059509277,1897,1914,2024,58
"08NN015","WEST KETTLE RIVER NEAR MCCULLOCH",49.7029190063477,-119.092468261719,230.199996948242,1949,2024,70
"08NN019","TRAPPING CREEK NEAR THE MOUTH",49.5653686523438,-119.051963806152,148.100006103516,1965,2024,60
"08NN026","KETTLE RIVER NEAR WESTBRIDGE",49.2300491333008,-118.928123474121,2157,1975,2024,48
"08NN029","BOUNDARY CREEK NEAR BOUNDARY FALLS",49.047420501709,-118.695190429688,1300.40002441406,2024,2024,1
