"STATION_NUMBER","year","month","monthly_mean"
"08NN003",1989,4,25.527
"08NN003",1989,5,44.923
"08NN003",1989,6,22.958
"08NN003",1989,7,4.656
"08NN003",1989,8,2.253
"08NN003",1989,9,2.261
"08NN003",1990,4,34.23
"08NN003",1990,5,51.619
"08NN003",1990,6,82.967
"08NN003",1990,7,16.655
"08NN003",1990,8,2.985
"08NN003",1990,9,1.846
"08NN003",1991,4,33.954
"08NN003",1991,5,67.819
"08NN003",1991,6,40.68
"08NN003",1991,7,13.791
"08NN003",1991,8,3.371
"08NN003",1991,9,1.478
"08NN003",1992,4,23.877
"08NN003",1992,5,27.535
"08NN003",1992,6,10.105
"08NN003",1992,7,11.186
"08NN003",1992,8,2.638
"08NN003",1992,9,1.518
"08NN003",1993,3,2.36
"08NN003",1993,4,32.831
"08NN003",1993,5,71.645
"08NN003",1993,6,26.167
"08NN003",1993,7,24.784
"08NN003",1993,8,9.582
"08NN003",1993,9,3.496
"08NN003",1994,4,68.153
"08NN003",1994,5,48.919
"08NN003",1994,6,23.428
"08NN003",1994,7,4.595
"08NN003",1994,8,1.432
"08NN003",1994,9,1.359
"08NN003",1995,4,44.557
"08NN003",1995,5,76.855
"08NN003",1995,6,35.003
"08NN003",1995,7,5.144
"08NN003",1995,8,2.868
"08NN003",1995,9,1.278
"08NN003",1996,4,57.317
"08NN003",1996,5,71.468
"08NN003",1996,6,59.473
"08NN003",1996,7,13.109
"08NN003",1996,8,3.011
"08NN003",1996,9,3.83
"08NN003",1997,4,51.827
"08NN003",1997,5,98.532
"08NN003",1997,6,70.293
"08NN003",1997,7,35.333
"08NN003",1997,8,5.733
"08NN003",1997,9,5.834
"08NN003",1998,4,52.627
"08NN003",1998,5,71.31
"08NN003",1998,6,27.813
"08NN003",1998,7,10.218
"08NN003",1998,8,1.751
"08NN003",1998,9,0.99
"08NN003",1999,4,46.777
"08NN003",1999,5,74.99
"08NN003",1999,6,53.62
"08NN003",1999,7,20.827
"08NN003",1999,8,4.675
"08NN003",1999,9,2.526
"08NN003",2000,4,46.185
"08NN003",2000,5,49.942
"08NN003",2000,6,37.377
"08NN003",2000,7,8.79
"08NN003",2000,8,1.784
"08NN003",2000,9,2.018
"08NN003",2001,4,9.476
"08NN003",2001,5,40.477
"08NN003",2001,6,24.073
"08NN003",2001,7,6.008
"08NN003",2001,8,2.278
"08NN003",2001,9,0.791
"08NN003",2002,4,30.394
"08NN003",2002,5,63.71
"08NN003",2002,6,41.97
"08NN003",2002,7,5.927
"08NN003",2002,8,0.941
"08NN003",2002,9,0.704
"08NN003",2003,4,30.344
"08NN003",2003,5,52.945
"08NN003",2003,6,26.182
"08NN003",2003,7,2.548
"08NN003",2003,8,0.451
"08NN003",2003,9,0.523
"08NN003",2004,4,40.547
"08NN003",2004,5,46.11
"08NN003",2004,6,30.817
"08NN003",2004,7,7.513
"08NN003",2004,8,2.156
"08NN003",2004,9,4.999
"08NN003",2005,4,45.823
"08NN003",2005,5,55.49
"08NN003",2005,6,26.82
"08NN003",2005,7,7.512
"08NN003",2005,8,1.34
"08NN003",2005,9,1.002
"08NN003",2006,4,43.557
"08NN003",2006,5,92.871
"08NN003",2006,6,49.983
"08NN003",2006,7,5.082
"08NN003",2006,8,1.043
"08NN003",2006,9,0.862
"08NN003",2007,4,31.61
"08NN003",2007,5,44.161
"08NN003",2007,6,21.972
"08NN003",2007,7,6.905
"08NN003",2007,8,0.983
"08NN003",2007,9,0.653
"08NN003",2007,10,1.984
"08NN003",2007,11,1.595
"08NN003",2007,12,1.483
"08NN003",2008,1,1.03
"08NN003",2008,2,0.944
"08NN003",2008,3,1.428
"08NN003",2008,4,4.069
"08NN003",2008,5,59.306
"08NN003",2008,6,34
"08NN003",2008,7,4.59
"08NN003",2008,8,0.984
"08NN003",2008,9,0.746
"08NN003",2008,10,0.948
"08NN003",2008,11,1.779
"08NN003",2008,12,1.488
"08NN003",2009,1,1.302
"08NN003",2009,2,1.025
"08NN003",2009,3,1.123
"08NN003",2009,4,5.994
"08NN003",2009,5,39.974
"08NN003",2009,6,20.565
"08NN003",2009,7,3.325
"08NN003",2009,8,0.878
"08NN003",2009,9,0.644
"08NN003",2009,10,0.914
"08NN003",2009,11,1.072
"08NN003",2009,12,0.73
"08NN003",2010,1,0.959
"08NN003",2010,2,1.531
"08NN003",2010,3,3.335
"08NN003",2010,4,21.237
"08NN003",2010,5,45.761
"08NN003",2010,6,45.867
"08NN003",2010,7,7.478
"08NN003",2010,8,1.407
"08NN003",2010,9,1.708
"08NN003",2010,10,1.716
"08NN003",2010,11,2.362
"08NN003",2010,12,1.754
"08NN003",2011,1,1.329
"08NN003",2011,2,1.662
"08NN003",2011,3,3.703
"08NN003",2011,4,9.346
"08NN003",2011,5,88.019
"08NN003",2011,6,85.36
"08NN003",2011,7,17.064
"08NN003",2011,8,2.744
"08NN003",2011,9,0.916
"08NN003",2011,10,1.35
"08NN003",2011,11,1.016
"08NN003",2011,12,0.86
"08NN003",2012,1,0.805
"08NN003",2012,2,0.801
"08NN003",2012,3,1.505
"08NN003",2012,4,31.208
"08NN003",2012,5,60.548
"08NN003",2012,6,57.46
"08NN003",2012,7,24.271
"08NN003",2012,8,3.055
"08NN003",2012,9,1.069
"08NN003",2012,10,1.185
"08NN003",2012,11,3.389
"08NN003",2012,12,3.484
"08NN003",2013,1,2.685
"08NN003",2013,2,2.44
"08NN003",2013,3,7.128
"08NN003",2013,4,49.033
"08NN003",2013,5,76.858
"08NN003",2013,6,43.003
"08NN003",2013,7,10.258
"08NN003",2013,8,2.329
"08NN003",2013,9,2.002
"08NN003",2013,10,2.953
"08NN003",2013,11,2.641
"08NN003",2013,12,2.165
"08NN003",2014,1,1.683
"08NN003",2014,2,1.713
"08NN003",2014,3,2.563
"08NN003",2014,4,19.121
"08NN003",2014,5,63.981
